Day,DayOfWeek,Hour,device
1,3,0,device_1
1,3,0,device_2
1,3,0,device_3
1,3,0,device_4
1,3,0,device_5
1,3,0,device_6
1,3,1,device_1
1,3,1,device_2
1,3,1,device_3
1,3,1,device_4
1,3,1,device_5
1,3,1,device_6
1,3,2,device_1
1,3,2,device_2
1,3,2,device_3
1,3,2,device_4
1,3,2,device_5
1,3,2,device_6
1,3,3,device_1
1,3,3,device_2
1,3,3,device_3
1,3,3,device_4
1,3,3,device_5
1,3,3,device_6
1,3,4,device_1
1,3,4,device_2
1,3,4,device_3
1,3,4,device_4
1,3,4,device_5
1,3,4,device_6
1,3,5,device_1
1,3,5,device_2
1,3,5,device_3
1,3,5,device_4
1,3,5,device_5
1,3,5,device_6
1,3,6,device_1
1,3,6,device_2
1,3,6,device_3
1,3,6,device_4
1,3,6,device_5
1,3,6,device_6
1,3,7,device_1
1,3,7,device_2
1,3,7,device_3
1,3,7,device_4
1,3,7,device_5
1,3,7,device_6
1,3,8,device_1
1,3,8,device_2
1,3,8,device_3
1,3,8,device_4
1,3,8,device_5
1,3,8,device_6
1,3,9,device_1
1,3,9,device_2
1,3,9,device_3
1,3,9,device_4
1,3,9,device_5
1,3,9,device_6
1,3,10,device_1
1,3,10,device_2
1,3,10,device_3
1,3,10,device_4
1,3,10,device_5
1,3,10,device_6
1,3,11,device_1
1,3,11,device_2
1,3,11,device_3
1,3,11,device_4
1,3,11,device_5
1,3,11,device_6
1,3,12,device_1
1,3,12,device_2
1,3,12,device_3
1,3,12,device_4
1,3,12,device_5
1,3,12,device_6
1,3,13,device_1
1,3,13,device_2
1,3,13,device_3
1,3,13,device_4
1,3,13,device_5
1,3,13,device_6
1,3,14,device_1
1,3,14,device_2
1,3,14,device_3
1,3,14,device_4
1,3,14,device_5
1,3,14,device_6
1,3,15,device_1
1,3,15,device_2
1,3,15,device_3
1,3,15,device_4
1,3,15,device_5
1,3,15,device_6
1,3,16,device_1
1,3,16,device_2
1,3,16,device_3
1,3,16,device_4
1,3,16,device_5
1,3,16,device_6
1,3,17,device_1
1,3,17,device_2
1,3,17,device_3
1,3,17,device_4
1,3,17,device_5
1,3,17,device_6
1,3,18,device_1
1,3,18,device_2
1,3,18,device_3
1,3,18,device_4
1,3,18,device_5
1,3,18,device_6
1,3,19,device_1
1,3,19,device_2
1,3,19,device_3
1,3,19,device_4
1,3,19,device_5
1,3,19,device_6
1,3,20,device_1
1,3,20,device_2
1,3,20,device_3
1,3,20,device_4
1,3,20,device_5
1,3,20,device_6
1,3,21,device_1
1,3,21,device_2
1,3,21,device_3
1,3,21,device_4
1,3,21,device_5
1,3,21,device_6
1,3,22,device_1
1,3,22,device_2
1,3,22,device_3
1,3,22,device_4
1,3,22,device_5
1,3,22,device_6
1,3,23,device_1
1,3,23,device_2
1,3,23,device_3
1,3,23,device_4
1,3,23,device_5
1,3,23,device_6
